dep,arr,fsc,zon,sum_nvols,sum_pax_fs,min_anmois,max_anmois,avg_nvols,avg_pax_fs,dep_,arr_,avg_pc15_d,avg_pc15_a,avg_retard_d,avg_retard_a,dep_apt_lat,dep_apt_long,arr_apt_lat,arr_apt_long
"BGSF","LFPG","LC","I",17,3553,201008,201608,0.0283,5.9118,(null),(null),(null),(null),(null),(null),67.02,-50.69,49.01,2.55
"BIKF","LFLL","MC","I",152,21413,201307,201709,0.3772,53.1340,"BIKF","LFLL",0.0,0.142,0.0,7.15,63.98,-22.61,45.73,5.08
"BIKF","LFML","MC","I",2,511,201606,201606,2.0000,511.0000,(null),(null),(null),(null),(null),(null),63.98,-22.61,43.44,5.22
"BIKF","LFMN","MC","I",42,5117,201606,201609,10.5000,1279.2500,"BIKF","LFMN",0.0,0.909,0.0,55.3,63.98,-22.61,43.67,7.22
"BIKF","LFPG","MC","I",6417,1021436,200801,201803,6.3978,1018.3809,"BIKF","LFPG",0.0,0.227,0.0,12.841,63.98,-22.61,49.01,2.55
"BIKF","LFPO","MC","I",913,128809,200308,201803,0.6103,86.1023,"BIKF","LFPO",0.0,0.363,0.0,19.009,63.98,-22.61,48.72,2.38
"BIKF","LFSB","MC","I",425,63528,200806,201803,0.4259,63.6553,(null),(null),(null),(null),(null),(null),63.98,-22.61,47.59,7.53
"BIKF","LFSR","MC","I",4,600,199610,199610,4.0000,600.0000,(null),(null),(null),(null),(null),(null),63.98,-22.61,49.31,4.05
"BIRK","LFPG","MC","I",2538,348449,199508,200712,2.1062,289.1693,(null),(null),(null),(null),(null),(null),64.13,-21.94,49.01,2.55
"BIRK","LFPO","MC","I",671,74475,199006,200607,0.4189,46.4888,(null),(null),(null),(null),(null),(null),64.13,-21.94,48.72,2.38
"BIRK","LFSB","MC","I",8,1147,200707,200708,4.0000,573.5000,(null),(null),(null),(null),(null),(null),64.13,-21.94,47.59,7.53
"BKPR","LFPG","MC","I",93,13775,201611,201710,0.9300,137.7500,(null),(null),(null),(null),(null),(null),42.57,21.04,49.01,2.55
"BKPR","LFRS","MC","I",11,1654,200405,200405,11.0000,1654.0000,(null),(null),(null),(null),(null),(null),42.57,21.04,47.16,-1.61
"BKPR","LFSB","MC","I",4923,638667,199701,201803,2.3409,303.6933,"BKPR","LFSB",0.0,0.152,0.0,10.83,42.57,21.04,47.59,7.53
"CY99","LFPG","LC","I",3,740,199912,199912,3.0000,740.0000,(null),(null),(null),(null),(null),(null),0.0,0.0,49.01,2.55
"CYEG","LFPG","LC","I",6,1661,199607,199608,3.0000,830.5000,(null),(null),(null),(null),(null),(null),53.31,-113.58,49.01,2.55
"CYHZ","LFPG","LC","I",14,2502,200307,200709,0.0347,6.2084,(null),(null),(null),(null),(null),(null),44.88,-63.51,49.01,2.55
"CYHZ","LFPO","LC","I",27,6728,200807,201008,0.1337,33.3069,(null),(null),(null),(null),(null),(null),44.88,-63.51,48.72,2.38
"CYMX","LFBD","LC","I",174,40406,199505,200109,0.2876,66.7868,(null),(null),(null),(null),(null),(null),45.68,-74.04,44.83,-0.72
"CYMX","LFBL","LC","I",3,671,199606,199606,3.0000,671.0000,(null),(null),(null),(null),(null),(null),45.68,-74.04,45.86,1.18
"CYMX","LFBO","LC","I",494,121661,199008,200410,0.3521,86.7149,(null),(null),(null),(null),(null),(null),45.68,-74.04,43.64,1.37
"CYMX","LFLL","LC","I",684,160007,199007,200410,0.4872,113.9651,(null),(null),(null),(null),(null),(null),45.68,-74.04,45.73,5.08
"CYMX","LFML","LC","I",281,75717,199405,200409,0.2796,75.3403,(null),(null),(null),(null),(null),(null),45.68,-74.04,43.44,5.22
"CYMX","LFMN","LC","I",513,117645,199006,200410,0.3651,83.7331,(null),(null),(null),(null),(null),(null),45.68,-74.04,43.67,7.22
"CYMX","LFPG","LC","I",10561,2475656,199001,200412,7.4795,1753.2975,(null),(null),(null),(null),(null),(null),45.68,-74.04,49.01,2.55
"CYMX","LFPO","LC","I",1674,416217,199001,200410,1.1872,295.1894,(null),(null),(null),(null),(null),(null),45.68,-74.04,48.72,2.38
"CYMX","LFRS","LC","I",357,90647,199007,200410,0.2543,64.5634,(null),(null),(null),(null),(null),(null),45.68,-74.04,47.16,-1.61
"CYMX","LFSB","LC","I",169,44353,199006,200109,0.1531,40.1748,(null),(null),(null),(null),(null),(null),45.68,-74.04,47.59,7.53
"CYMX","LFST","LC","I",23,3795,199607,199708,0.2255,37.2059,(null),(null),(null),(null),(null),(null),45.68,-74.04,48.54,7.63
"CYOW","LFPG","LC","I",21,5042,200607,200808,0.1040,24.9604,(null),(null),(null),(null),(null),(null),45.32,-75.67,49.01,2.55
"CYQB","LFBD","LC","I",3,609,201009,201009,3.0000,609.0000,(null),(null),(null),(null),(null),(null),46.79,-71.39,44.83,-0.72
"CYQB","LFML","LC","I",60,13329,201007,201308,0.1987,44.1358,(null),(null),(null),(null),(null),(null),46.79,-71.39,43.44,5.22
"CYQB","LFMN","LC","I",21,4537,199306,199508,0.1034,22.3498,(null),(null),(null),(null),(null),(null),46.79,-71.39,43.67,7.22
"CYQB","LFPG","LC","I",2112,541726,199006,201803,0.7548,193.6119,"CYQB","LFPG",0.0,0.166,0.0,13.0,46.79,-71.39,49.01,2.55
"CYQB","LFPO","LC","I",43,12929,199607,201009,0.0306,9.2153,(null),(null),(null),(null),(null),(null),46.79,-71.39,48.72,2.38
"CYQB","LFRS","LC","I",20,4514,200906,201008,0.1942,43.8252,(null),(null),(null),(null),(null),(null),46.79,-71.39,47.16,-1.61
"CYQM","LFPG","LC","I",35,7073,199906,200109,0.1716,34.6716,(null),(null),(null),(null),(null),(null),46.11,-64.68,49.01,2.55
"CYQM","LFPO","LC","I",44,14560,200407,200709,0.1452,48.0528,(null),(null),(null),(null),(null),(null),46.11,-64.68,48.72,2.38
"CYQX","LFML","LC","I",2,672,199308,199308,2.0000,672.0000,(null),(null),(null),(null),(null),(null),48.94,-54.57,43.44,5.22
"CYQX","LFPG","LC","I",69,19113,199207,199707,0.1377,38.1497,(null),(null),(null),(null),(null),(null),48.94,-54.57,49.01,2.55
"CYQX","LFSB","LC","I",18,3001,199501,199504,4.5000,750.2500,(null),(null),(null),(null),(null),(null),48.94,-54.57,47.59,7.53
"CYUL","LFBD","LC","I",441,108031,200606,201710,0.3991,97.7656,"CYUL","LFBD",0.0,0.1,0.0,4.2,45.47,-73.74,44.83,-0.72
"CYUL","LFBO","LC","I",654,156846,200505,201710,0.5423,130.0547,"CYUL","LFBO",0.0,0.186,0.0,10.24,45.47,-73.74,43.64,1.37
"CYUL","LFLL","LC","I",1431,333251,200505,201803,1.1016,256.5443,"CYUL","LFLL",0.0,0.314,0.0,19.133,45.47,-73.74,45.73,5.08
"CYUL","LFML","LC","I",1098,270688,200505,201711,0.9097,224.2651,"CYUL","LFML",0.0,0.317,0.0,19.411,45.47,-73.74,43.44,5.22
"CYUL","LFMN","LC","I",938,205570,200505,201710,0.7778,170.4561,"CYUL","LFMN",0.0,0.276,0.0,19.319,45.47,-73.74,43.67,7.22
"CYUL","LFPG","LC","I",33430,9738781,199201,201803,12.8429,3741.3680,"CYUL","LFPG",0.0,0.256,0.0,13.513,45.47,-73.74,49.01,2.55
"CYUL","LFPO","LC","I",1611,549730,199801,201709,0.8439,287.9675,"CYUL","LFPO",0.0,0.341,0.0,20.086,45.47,-73.74,48.72,2.38
"CYUL","LFRS","LC","I",515,126920,200505,201710,0.4270,105.2405,"CYUL","LFRS",0.0,0.25,0.0,11.85,45.47,-73.74,47.16,-1.61
"CYUL","LFSB","LC","I",147,32916,200808,201709,0.1630,36.4922,(null),(null),(null),(null),(null),(null),45.47,-73.74,47.59,7.53
"CYVR","LFPG","LC","I",968,256683,199407,201803,0.4038,107.0851,"CYVR","LFPG",0.0,0.316,0.0,18.113,49.2,-123.18,49.01,2.55
"CYYC","LFPG","LC","I",341,96648,199807,201610,0.1890,53.5743,(null),(null),(null),(null),(null),(null),51.11,-114.02,49.01,2.55
"CYYZ","LFJL","LC","I",17,3751,199408,199905,0.0341,7.5321,(null),(null),(null),(null),(null),(null),43.68,-79.63,48.98,6.25
"CYYZ","LFPG","LC","I",21945,4638547,199001,201803,7.8291,1654.8509,"CYYZ","LFPG",0.0,0.316,0.0,17.836,43.68,-79.63,49.01,2.55
"CYYZ","LFPO","LC","I",41,10916,199005,201209,0.0186,4.9506,(null),(null),(null),(null),(null),(null),43.68,-79.63,48.72,2.38
"CYYZ","LFRS","LC","I",10,2433,199909,200406,0.0201,4.8855,(null),(null),(null),(null),(null),(null),43.68,-79.63,47.16,-1.61
"CYYZ","LFSB","LC","I",4,927,200807,200807,4.0000,927.0000,(null),(null),(null),(null),(null),(null),43.68,-79.63,47.59,7.53
"DAAE","LFLL","MC","I",3124,302200,199308,201803,1.2516,121.0737,"DAAE","LFLL",0.0,0.353,0.0,27.081,36.72,5.07,45.73,5.08
"DAAE","LFMH","MC","I",13,1193,200209,201408,0.0108,0.9942,(null),(null),(null),(null),(null),(null),36.72,5.07,45.53,4.3
"DAAE","LFML","MC","I",2522,234660,199408,201803,1.0526,97.9382,"DAAE","LFML",0.0,0.265,0.0,16.226,36.72,5.07,43.44,5.22
"DAAE","LFOK","MC","I",19,2051,201608,201709,0.1863,20.1078,(null),(null),(null),(null),(null),(null),36.72,5.07,48.77,4.21
"DAAE","LFPG","MC","I",1264,152148,199706,201708,0.6311,75.9601,"DAAE","LFPG",0.0,0.69,0.0,89.7,36.72,5.07,49.01,2.55
"DAAE","LFPO","MC","I",7974,935615,199308,201803,3.1947,374.8458,"DAAE","LFPO",0.0,0.418,0.0,24.837,36.72,5.07,48.72,2.38
"DAAG","LFBD","MC","I",978,109577,199001,201803,0.3489,39.0928,"DAAG","LFBD",0.0,0.608,0.0,38.885,36.69,3.22,44.83,-0.72
"DAAG","LFBO","MC","I",5471,501216,199001,201803,1.9518,178.8141,"DAAG","LFBO",0.0,0.449,0.0,28.103,36.69,3.22,43.64,1.37
"DAAG","LFJL","MC","I",1825,202875,199908,201803,0.9626,107.0016,"DAAG","LFJL",0.0,0.383,0.0,25.608,36.69,3.22,48.98,6.25
"DAAG","LFLL","MC","I",16379,1783778,199001,201803,5.8434,636.3817,"DAAG","LFLL",0.0,0.491,0.0,30.287,36.69,3.22,45.73,5.08
"DAAG","LFLS","MC","I",6,651,199001,199001,6.0000,651.0000,(null),(null),(null),(null),(null),(null),36.69,3.22,45.36,5.33
"DAAG","LFML","MC","I",27910,2798243,199001,201803,9.9572,998.3029,"DAAG","LFML",0.0,0.384,0.0,22.448,36.69,3.22,43.44,5.22
"DAAG","LFMN","MC","I",2680,186739,199003,201803,0.9568,66.6687,"DAAG","LFMN",0.0,0.549,0.0,30.474,36.69,3.22,43.67,7.22
"DAAG","LFMT","MC","I",324,24137,200208,201803,0.2030,15.1234,"DAAG","LFMT",0.0,0.303,0.0,16.42,36.69,3.22,43.58,3.96
"DAAG","LFOK","MC","I",114,10296,201604,201709,1.0755,97.1321,"DAAG","LFOK",0.0,0.138,0.0,5.267,36.69,3.22,48.77,4.21
"DAAG","LFPG","MC","I",35799,4551254,199001,201803,12.7717,1623.7082,"DAAG","LFPG",0.0,0.32,0.0,18.488,36.69,3.22,49.01,2.55
"DAAG","LFPO","MC","I",49223,7109506,199001,201803,17.5608,2536.3917,"DAAG","LFPO",0.0,0.525,0.0,28.891,36.69,3.22,48.72,2.38
"DAAG","LFQQ","MC","I",6979,743766,199001,201803,2.4898,265.3464,"DAAG","LFQQ",0.0,0.47,0.0,31.432,36.69,3.22,50.56,3.09
"DAAG","LFRS","MC","I",258,28900,200208,201803,0.1617,18.1078,"DAAG","LFRS",0.0,0.542,0.0,28.625,36.69,3.22,47.16,-1.61
"DAAG","LFSB","MC","I",483,61247,200708,201803,0.4407,55.8823,(null),(null),(null),(null),(null),(null),36.69,3.22,47.59,7.53
"DAAG","LFST","MC","I",334,30971,199001,201803,0.1192,11.0492,"DAAG","LFST",0.0,0.5,0.0,72.9,36.69,3.22,48.54,7.63
"DAAJ","LFML","MC","I",45,6284,200304,201004,0.0642,8.9643,(null),(null),(null),(null),(null),(null),24.29,9.45,43.44,5.22
"DAAJ","LFPG","MC","I",36,4998,200211,200811,0.0599,8.3161,(null),(null),(null),(null),(null),(null),24.29,9.45,49.01,2.55
"DAAJ","LFPO","MC","I",53,9125,200303,201003,0.0756,13.0171,(null),(null),(null),(null),(null),(null),24.29,9.45,48.72,2.38
"DAAS","LFLL","MC","I",4411,454635,200605,201803,3.6789,379.1785,"DAAS","LFLL",0.0,0.438,0.0,30.246,36.17,5.32,45.73,5.08
"DAAS","LFML","MC","I",684,61478,200611,201803,0.5733,51.5323,"DAAS","LFML",0.0,0.258,0.0,19.981,36.17,5.32,43.44,5.22
"DAAS","LFPG","MC","I",9,1443,200808,201708,0.0100,1.6016,(null),(null),(null),(null),(null),(null),36.17,5.32,49.01,2.55
"DAAS","LFPO","MC","I",3820,407481,200607,201803,3.1913,340.4185,"DAAS","LFPO",0.0,0.338,0.0,24.759,36.17,5.32,48.72,2.38
"DAAS","LFSB","MC","I",152,21232,200808,201711,0.1681,23.4867,(null),(null),(null),(null),(null),(null),36.17,5.32,47.59,7.53
"DAAT","LFML","MC","I",7,1221,200511,200603,0.0753,13.1290,(null),(null),(null),(null),(null),(null),22.81,5.45,43.44,5.22
"DAAT","LFPG","MC","I",19,3034,200104,200712,0.0312,4.9819,(null),(null),(null),(null),(null),(null),22.81,5.45,49.01,2.55
"DAAT","LFPO","MC","I",54,8434,200604,200904,0.1794,28.0199,(null),(null),(null),(null),(null),(null),22.81,5.45,48.72,2.38
"DAAV","LFML","MC","I",34,3458,201505,201708,0.1667,16.9510,(null),(null),(null),(null),(null),(null),36.79,5.87,43.44,5.22
"DAAV","LFPG","MC","I",33,4100,201008,201209,0.1634,20.2970,(null),(null),(null),(null),(null),(null),36.79,5.87,49.01,2.55
"DABB","LFLL","MC","I",2143,206900,199001,201803,0.7645,73.8138,"DABB","LFLL",0.0,0.238,0.0,14.744,36.82,7.81,45.73,5.08
"DABB","LFML","MC","I",7032,721700,199001,201803,2.5087,257.4741,"DABB","LFML",0.0,0.264,0.0,15.361,36.82,7.81,43.44,5.22
"DABB","LFPG","MC","I",1003,93423,199706,201803,0.4781,44.5296,"DABB","LFPG",0.0,0.42,0.0,30.42,36.82,7.81,49.01,2.55
"DABB","LFPO","MC","I",4583,432182,199001,201803,1.6350,154.1855,"DABB","LFPO",0.0,0.381,0.0,22.515,36.82,7.81,48.72,2.38
"DABC","LFBO","MC","I",10,1289,201608,201708,0.0990,12.7624,(null),(null),(null),(null),(null),(null),36.29,6.62,43.64,1.37
"DABC","LFJL","MC","I",54,7034,200308,201708,0.0385,5.0207,(null),(null),(null),(null),(null),(null),36.29,6.62,48.98,6.25
"DABC","LFLL","MC","I",8778,877460,199001,201803,3.1316,313.0432,"DABC","LFLL",0.0,0.37,0.0,26.915,36.29,6.62,45.73,5.08
"DABC","LFMH","MC","I",8,722,201609,201609,8.0000,722.0000,(null),(null),(null),(null),(null),(null),36.29,6.62,45.53,4.3
"DABC","LFML","MC","I",13275,1377284,199001,201803,4.7360,491.3607,"DABC","LFML",0.0,0.264,0.0,17.287,36.29,6.62,43.44,5.22
"DABC","LFMN","MC","I",887,87694,199008,201803,0.3172,31.3641,"DABC","LFMN",0.0,0.454,0.0,27.27,36.29,6.62,43.67,7.22
"DABC","LFOK","MC","I",9,1124,201608,201708,0.0891,11.1287,(null),(null),(null),(null),(null),(null),36.29,6.62,48.77,4.21
"DABC","LFPG","MC","I",1633,178861,199008,201803,0.5840,63.9703,"DABC","LFPG",0.0,0.499,0.0,33.574,36.29,6.62,49.01,2.55
"DABC","LFPO","MC","I",7030,736191,199001,201803,2.5080,262.6440,"DABC","LFPO",0.0,0.444,0.0,26.996,36.29,6.62,48.72,2.38
"DABC","LFQQ","MC","I",64,5744,200108,200409,0.2119,19.0199,(null),(null),(null),(null),(null),(null),36.29,6.62,50.56,3.09
"DABC","LFSB","MC","I",3410,339223,199008,201803,1.2196,121.3244,"DABC","LFSB",0.0,0.353,0.0,22.079,36.29,6.62,47.59,7.53
"DABC","LFST","MC","I",22,2901,201608,201709,0.2157,28.4412,(null),(null),(null),(null),(null),(null),36.29,6.62,48.54,7.63
"DABT","LFLL","MC","I",244,28607,200110,201709,0.1525,17.8794,(null),(null),(null),(null),(null),(null),35.55,6.17,45.73,5.08
"DABT","LFML","MC","I",898,83906,200008,201803,0.5000,46.7183,(null),(null),(null),(null),(null),(null),35.55,6.17,43.44,5.22
"DABT","LFPG","MC","I",26,3476,200108,201708,0.0162,2.1711,(null),(null),(null),(null),(null),(null),35.55,6.17,49.01,2.55
"DABT","LFPO","MC","I",900,87017,200205,201801,0.5636,54.4878,"DABT","LFPO",0.0,0.65,0.0,33.9,35.55,6.17,48.72,2.38
"DAOI","LFLL","MC","I",14,2042,201205,201209,2.8000,408.4000,(null),(null),(null),(null),(null),(null),36.22,1.33,45.73,5.08
"DAOI","LFML","MC","I",1516,157402,200608,201803,1.2676,131.6070,"DAOI","LFML",0.0,0.397,0.0,23.763,36.22,1.33,43.44,5.22
"DAOI","LFPG","MC","I",369,40140,201109,201803,0.5309,57.7554,"DAOI","LFPG",0.0,0.038,0.0,4.367,36.22,1.33,49.01,2.55
"DAOL","LFML","MC","I",17,1378,201010,201010,17.0000,1378.0000,(null),(null),(null),(null),(null),(null),35.72,-0.72,43.44,5.22
"DAON","LFLL","MC","I",352,39624,199511,201801,0.1536,17.2955,"DAON","LFLL",0.0,0.4,0.0,26.833,35.02,-1.45,45.73,5.08
"DAON","LFML","MC","I",1791,164077,199008,201803,0.6406,58.6828,"DAON","LFML",0.0,0.317,0.0,22.483,35.02,-1.45,43.44,5.22
"DAON","LFOK","MC","I",40,4578,201608,201709,0.3922,44.8824,(null),(null),(null),(null),(null),(null),35.02,-1.45,48.77,4.21
"DAON","LFPG","MC","I",1020,108015,199706,201708,0.5092,53.9266,(null),(null),(null),(null),(null),(null),35.02,-1.45,49.01,2.55
"DAON","LFPO","MC","I",6981,761765,199001,201803,2.4905,271.7677,"DAON","LFPO",0.0,0.4,0.0,24.529,35.02,-1.45,48.72,2.38
"DAON","LFQQ","MC","I",62,7071,200208,201309,0.0563,6.4165,(null),(null),(null),(null),(null),(null),35.02,-1.45,50.56,3.09
"DAOO","LFBD","MC","I",83,10497,200508,201803,0.0640,8.0995,(null),(null),(null),(null),(null),(null),35.63,-0.61,44.83,-0.72
"DAOO","LFBO","MC","I",6651,639782,199001,201803,2.3728,228.2490,"DAOO","LFBO",0.0,0.338,0.0,20.029,35.63,-0.61,43.64,1.37
"DAOO","LFJL","MC","I",47,5884,200408,201708,0.0361,4.5227,(null),(null),(null),(null),(null),(null),35.63,-0.61,48.98,6.25
"DAOO","LFLL","MC","I",7354,819400,199001,201803,2.6236,292.3296,"DAOO","LFLL",0.0,0.406,0.0,29.1,35.63,-0.61,45.73,5.08
"DAOO","LFMH","MC","I",9,1144,201608,201708,0.0891,11.3267,(null),(null),(null),(null),(null),(null),35.63,-0.61,45.53,4.3
"DAOO","LFMK","MC","I",26,2890,201605,201709,0.2476,27.5238,(null),(null),(null),(null),(null),(null),35.63,-0.61,43.22,2.31
"DAOO","LFML","MC","I",10536,1183448,199001,201803,3.7588,422.2076,"DAOO","LFML",0.0,0.319,0.0,20.187,35.63,-0.61,43.44,5.22
"DAOO","LFMN","MC","I",36,1484,200308,200309,18.0000,742.0000,(null),(null),(null),(null),(null),(null),35.63,-0.61,43.67,7.22
"DAOO","LFMT","MC","I",138,13916,200308,201708,0.0985,9.9329,(null),(null),(null),(null),(null),(null),35.63,-0.61,43.58,3.96
"DAOO","LFOK","MC","I",182,18968,201603,201709,1.7009,177.2710,"DAOO","LFOK",0.0,0.244,0.0,14.0,35.63,-0.61,48.77,4.21
"DAOO","LFPG","MC","I",5809,710802,199008,201803,2.0776,254.2210,"DAOO","LFPG",0.0,0.391,0.0,23.608,35.63,-0.61,49.01,2.55
"DAOO","LFPO","MC","I",14479,1932210,199001,201803,5.1655,689.3364,"DAOO","LFPO",0.0,0.416,0.0,22.952,35.63,-0.61,48.72,2.38
"DAOO","LFQQ","MC","I",1031,107298,199808,201803,0.5165,53.7565,"DAOO","LFQQ",0.0,0.324,0.0,20.319,35.63,-0.61,50.56,3.09
"DAOO","LFSB","MC","I",244,31800,200208,201803,0.1529,19.9248,(null),(null),(null),(null),(null),(null),35.63,-0.61,47.59,7.53
"DAUB","LFLL","MC","I",342,40451,199609,201801,0.1560,18.4455,(null),(null),(null),(null),(null),(null),34.8,5.73,45.73,5.08
"DAUB","LFML","MC","I",27,3648,199508,199611,0.2596,35.0769,(null),(null),(null),(null),(null),(null),34.8,5.73,43.44,5.22
"DAUB","LFPG","MC","I",196,23280,199706,201704,0.0980,11.6458,(null),(null),(null),(null),(null),(null),34.8,5.73,49.01,2.55
"DAUB","LFPO","MC","I",1376,152255,199308,201803,0.5513,60.9996,"DAUB","LFPO",0.0,0.557,0.0,32.027,34.8,5.73,48.72,2.38
"DAUG","LFML","MC","I",8,1585,200409,200502,0.0851,16.8617,(null),(null),(null),(null),(null),(null),32.38,3.8,43.44,5.22
"DAUG","LFPG","MC","I",425,53151,199204,200911,0.2488,31.1189,(null),(null),(null),(null),(null),(null),32.38,3.8,49.01,2.55
"DAUG","LFPO","MC","I",26,4448,199101,200503,0.0185,3.1703,(null),(null),(null),(null),(null),(null),32.38,3.8,48.72,2.38
"DAUH","LFPG","MC","I",934,43421,199409,201012,0.5823,27.0704,(null),(null),(null),(null),(null),(null),31.67,6.14,49.01,2.55
"DAUU","LFPG","MC","I",50,1685,200310,200403,0.5319,17.9255,(null),(null),(null),(null),(null),(null),31.93,5.42,49.01,2.55
"DBBB","LFBD","LC","I",140,26595,199102,199411,0.4516,85.7903,(null),(null),(null),(null),(null),(null),6.36,2.38,44.83,-0.72
"DBBB","LFMN","LC","I",26,4725,199302,199409,0.2407,43.7500,(null),(null),(null),(null),(null),(null),6.36,2.38,43.67,7.22
"DBBB","LFPG","LC","I",5374,1059901,199003,201803,1.9186,378.4009,"DBBB","LFPG",0.0,0.229,0.0,13.533,6.36,2.38,49.01,2.55
"DBBB","LFPO","LC","I",91,33331,199607,200109,0.1809,66.2644,(null),(null),(null),(null),(null),(null),6.36,2.38,48.72,2.38
"DFFD","LFML","LC","I",192,18552,200211,201012,0.2394,23.1322,(null),(null),(null),(null),(null),(null),12.35,-1.51,43.44,5.22
"DFFD","LFMN","LC","I",13,2409,199203,199209,1.8571,344.1429,(null),(null),(null),(null),(null),(null),12.35,-1.51,43.67,7.22
"DFFD","LFPG","LC","I",6395,973262,199001,201803,2.2815,347.2215,"DFFD","LFPG",0.0,0.26,0.0,23.776,12.35,-1.51,49.01,2.55
"DFFD","LFPO","LC","I",676,72788,199702,201201,0.4507,48.5253,(null),(null),(null),(null),(null),(null),12.35,-1.51,48.72,2.38
"DGAA","LFPG","LC","I",167,36550,201703,201803,1.6535,361.8812,"DGAA","LFPG",0.0,0.142,0.0,9.592,5.6,-0.17,49.01,2.55
"DIAP","LFBD","LC","I",326,51890,199001,200806,0.1805,28.7320,(null),(null),(null),(null),(null),(null),5.25,-3.93,44.83,-0.72
"DIAP","LFBO","LC","I",5,944,200406,200406,5.0000,944.0000,(null),(null),(null),(null),(null),(null),5.25,-3.93,43.64,1.37
"DIAP","LFKB","LC","I",4,1528,200510,200606,0.0412,15.7526,(null),(null),(null),(null),(null),(null),5.25,-3.93,42.55,9.48
"DIAP","LFLL","LC","I",69,18860,199701,199809,0.6330,173.0275,(null),(null),(null),(null),(null),(null),5.25,-3.93,45.73,5.08
"DIAP","LFLS","LC","I",7,2133,200506,200506,7.0000,2133.0000,(null),(null),(null),(null),(null),(null),5.25,-3.93,45.36,5.33
"DIAP","LFLX","LC","I",27,7795,200310,200602,0.0922,26.6041,(null),(null),(null),(null),(null),(null),5.25,-3.93,46.86,1.72
"DIAP","LFML","LC","I",653,77130,199001,200912,0.3415,40.3400,(null),(null),(null),(null),(null),(null),5.25,-3.93,43.44,5.22
"DIAP","LFMN","LC","I",160,33311,199001,199508,0.3150,65.5728,(null),(null),(null),(null),(null),(null),5.25,-3.93,43.67,7.22
"DIAP","LFOK","LC","I",14,3732,200410,200602,0.0725,19.3368,(null),(null),(null),(null),(null),(null),5.25,-3.93,48.77,4.21
"DIAP","LFPG","LC","I",8526,1832385,199001,201803,3.0417,653.7228,"DIAP","LFPG",0.0,0.221,0.0,12.633,5.25,-3.93,49.01,2.55
"DIAP","LFPO","LC","I",1036,217131,199501,201803,0.4498,94.2818,"DIAP","LFPO",0.0,0.329,0.0,21.468,5.25,-3.93,48.72,2.38
"DIAP","LFRS","LC","I",4,1024,200502,200502,4.0000,1024.0000,(null),(null),(null),(null),(null),(null),5.25,-3.93,47.16,-1.61
"DIAP","LFSB","LC","I",2,536,200406,200406,2.0000,536.0000,(null),(null),(null),(null),(null),(null),5.25,-3.93,47.59,7.53
"DNAA","LFPG","LC","I",1770,315528,201206,201803,2.9599,527.6388,"DNAA","LFPG",0.0,0.07,0.0,6.787,9.01,7.26,49.01,2.55
"DNMM","LFBD","LC","I",4,800,199304,199304,4.0000,800.0000,(null),(null),(null),(null),(null),(null),6.57,3.32,44.83,-0.72
"DNMM","LFPG","LC","I",8507,1628209,199001,201803,3.0350,580.8808,"DNMM","LFPG",0.0,0.105,0.0,5.848,6.57,3.32,49.01,2.55
"DNPO","LFPG","LC","I",1530,192135,199702,200911,1.2645,158.7893,(null),(null),(null),(null),(null),(null),5.01,6.95,49.01,2.55
"DRRN","LFBD","LC","I",25,5005,199101,199109,2.7778,556.1111,(null),(null),(null),(null),(null),(null),13.48,2.17,44.83,-0.72
"DRRN","LFLL","LC","I",80,15109,199001,199209,0.3828,72.2919,(null),(null),(null),(null),(null),(null),13.48,2.17,45.73,5.08
"DRRN","LFML","LC","I",209,38098,199001,200604,0.1303,23.7519,(null),(null),(null),(null),(null),(null),13.48,2.17,43.44,5.22
"DRRN","LFPG","LC","I",5132,862276,199001,201803,1.8309,307.6261,"DRRN","LFPG",0.0,0.11,0.0,9.013,13.48,2.17,49.01,2.55
"DRRN","LFPO","LC","I",47,10653,199607,199709,0.4563,103.4272,(null),(null),(null),(null),(null),(null),13.48,2.17,48.72,2.38
"DRZA","LFML","LC","I",31,4551,199001,200703,0.0182,2.6723,(null),(null),(null),(null),(null),(null),16.96,7.99,43.44,5.22
"DTKA","LFPG","MC","I",110,14093,199608,201108,0.0733,9.3891,(null),(null),(null),(null),(null),(null),36.98,8.88,49.01,2.55
"DTKA","LFPO","MC","I",41,4165,200008,201008,0.0410,4.1608,(null),(null),(null),(null),(null),(null),36.98,8.88,48.72,2.38
"DTMB","LFBD","MC","I",1510,182361,199003,201408,0.6276,75.7943,(null),(null),(null),(null),(null),(null),35.76,10.75,44.83,-0.72
"DTMB","LFBO","MC","I",1990,260359,199003,201408,0.8271,108.2124,(null),(null),(null),(null),(null),(null),35.76,10.75,43.64,1.37
"DTMB","LFJL","MC","I",758,106058,199807,201410,0.4726,66.1209,(null),(null),(null),(null),(null),(null),35.76,10.75,48.98,6.25
"DTMB","LFLC","MC","I",5,554,199405,199405,5.0000,554.0000,(null),(null),(null),(null),(null),(null),35.76,10.75,45.79,3.16
"DTMB","LFLL","MC","I",8334,1037681,199001,201803,2.9732,370.2037,"DTMB","LFLL",0.0,0.269,0.0,19.585,35.76,10.75,45.73,5.08
"DTMB","LFLS","MC","I",33,4518,200505,200605,0.3267,44.7327,(null),(null),(null),(null),(null),(null),35.76,10.75,45.36,5.33
